User Input,Chatbot Response,Timestamp
hi,Hello! How can I assist you today?,2024-12-08 18:42:12
What courses do you offer?,Our institution provides courses from undergraduate to postgraduate levels. You can view all our courses on our website.,2024-12-08 18:42:30
What is the tuition fee?,You may be eligible for financial aid or scholarships. Check our financial aid page for more details.,2024-12-08 18:44:00
What is your grading policy?,"Grades are based on your performance in assignments, exams, and projects. Refer to our grading policy on the website.",2024-12-08 18:44:18
How can I get academic help?,We have a dedicated academic support team ready to assist you with any challenges. Check out our student resources page.,2024-12-08 18:44:31
Do you offer internships?,"You can apply for internships through our career services office, which helps place students in relevant companies.",2024-12-08 18:44:46
Tell me about campus amenities,"Our campus offers modern facilities such as libraries, gyms, student lounges, and computer labs.",2024-12-08 18:45:01
Thank you,Bye! Have a great day.,2024-12-08 18:46:17
Are there any merit-based scholarships?,You can apply for scholarships through our financial aid portal. Make sure to check the deadlines for each one.,2024-12-08 18:50:49
Are there any specific requirements for international students?,"Yes, we welcome international students. Visit our international admissions page for requirements and application instructions.",2024-12-08 18:54:31
Are there any loan options for students?,We offer student loans through government and private lenders. Visit our financial aid page for more information on loan options.,2024-12-08 18:55:21
Are the classrooms equipped with technology?,"Each classroom is designed with modern tech for an enhanced learning experience, including audio-visual systems.",2024-12-08 18:56:37
